cd_ibge;municipio;gde_regiao;mes;casos_novos;pop;pop_60;obitos;area
3533205;Nova Independência;Interior;Abril;0;3731;494;0;26503
3533254;Novais;Interior;Abril;0;5509;609;0;11777
3533304;Nova Luzitânia;Interior;Abril;0;4044;630;0;7382
3533403;Nova Odessa;Interior;Abril;7;58039;8753;1;7379
3533502;Novo Horizonte;Interior;Abril;1;38954;6952;0;93174
3533601;Nuporanga;Interior;Abril;0;7268;1273;0;34827
3533700;Ocauçu;Interior;Abril;0;4146;783;0;30104
3533809;Óleo;Interior;Abril;0;2527;597;0;19894
3533908;Olímpia;Interior;Abril;5;52516;9595;0;80256
3534005;Onda Verde;Interior;Abril;0;4225;632;0;24295
3534104;Oriente;Interior;Abril;0;6265;1212;0;21867
3534203;Orindiúva;Interior;Abril;0;6866;769;0;24738
3534302;Orlândia;Interior;Abril;4;42266;6797;0;29177
3534401;Osasco;RMSP (exceto capital);Abril;729;680964;93147;72;6495
3534500;Oscar Bressane;Interior;Abril;0;2514;605;0;22213
3534609;Osvaldo Cruz;Interior;Abril;0;31263;6674;0;24804
3534708;Ourinhos;Interior;Abril;19;110489;18745;3;29582
3534757;Ouroeste;Interior;Abril;0;9777;1531;0;28865
3534807;Ouro Verde;Interior;Abril;0;8268;1342;0;26678
3534906;Pacaembu;Interior;Abril;0;13056;2434;0;33938
3535002;Palestina;Interior;Abril;0;12160;2290;0;6977
3535101;Palmares Paulista;Interior;Abril;0;12997;1248;0;8213
3535200;Palmeira d'Oeste;Interior;Abril;0;9130;2193;0;31874
3535309;Palmital;Interior;Abril;1;21599;4425;0;54841
3535408;Panorama;Interior;Abril;0;15199;2341;0;35605
3535507;Paraguaçu Paulista;Interior;Abril;0;44180;7098;0;100149
3535606;Paraibuna;Interior;Abril;1;18230;3013;0;80958
3535705;Paraíso;Interior;Abril;0;6269;1113;0;15519
3535804;Paranapanema;Interior;Abril;2;19962;2683;0;101872
3535903;Paranapuã;Interior;Abril;0;3892;783;0;14035
3536000;Parapuã;Interior;Abril;0;10507;2247;0;36666
3536109;Pardinho;Interior;Abril;0;6392;914;0;20989
3536208;Pariquera-Açu;Interior;Abril;29;19251;2926;1;35941
3536257;Parisi;Interior;Abril;0;2054;458;0;8474
3536307;Patrocínio Paulista;Interior;Abril;0;14463;2222;0;60285
3536406;Paulicéia;Interior;Abril;0;7146;997;0;37409
3536505;Paulínia;Interior;Abril;15;105037;12690;1;13878
3536570;Paulistânia;Interior;Abril;1;1769;326;0;25618
3536604;Paulo de Faria;Interior;Abril;0;8521;1433;0;73799
3536703;Pederneiras;Interior;Abril;2;45570;6644;1;72874
3536802;Pedra Bela;Interior;Abril;1;5964;1147;0;15859
3536901;Pedranópolis;Interior;Abril;0;2422;596;0;2601
